tq_symbol,exchange,symbol,status,rows,file_path,message,updated_at
CFFEX.IF2210,CFFEX,IF2210,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2210.csv,,2026-04-22T13:31:52
CFFEX.IF2211,CFFEX,IF2211,downloaded,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2211.csv,,2026-04-22T13:31:53
CFFEX.IF2212,CFFEX,IF2212,downloaded,165,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2212.csv,,2026-04-22T13:31:53
CFFEX.IF2301,CFFEX,IF2301,downloaded,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2301.csv,,2026-04-22T13:31:53
CFFEX.IF2302,CFFEX,IF2302,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2302.csv,,2026-04-22T13:31:53
CFFEX.IF2303,CFFEX,IF2303,downloaded,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2303.csv,,2026-04-22T13:31:53
CFFEX.IF2304,CFFEX,IF2304,downloaded,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2304.csv,,2026-04-22T13:31:53
CFFEX.IF2305,CFFEX,IF2305,downloaded,41,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2305.csv,,2026-04-22T13:31:53
CFFEX.IF2306,CFFEX,IF2306,downloaded,160,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2306.csv,,2026-04-22T13:31:53
CFFEX.IF2307,CFFEX,IF2307,downloaded,43,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2307.csv,,2026-04-22T13:31:54
CFFEX.IF2308,CFFEX,IF2308,downloaded,43,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2308.csv,,2026-04-22T13:31:54
CFFEX.IF2309,CFFEX,IF2309,downloaded,159,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2309.csv,,2026-04-22T13:31:54
CFFEX.IF2310,CFFEX,IF2310,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2310.csv,,2026-04-22T13:31:54
CFFEX.IF2311,CFFEX,IF2311,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2311.csv,,2026-04-22T13:31:54
CFFEX.IF2312,CFFEX,IF2312,downloaded,159,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2312.csv,,2026-04-22T13:31:54
CFFEX.IF2401,CFFEX,IF2401,downloaded,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2401.csv,,2026-04-22T13:31:54
CFFEX.IF2402,CFFEX,IF2402,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2402.csv,,2026-04-22T13:31:54
CFFEX.IF2403,CFFEX,IF2403,downloaded,157,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2403.csv,,2026-04-22T13:31:55
CFFEX.IF2404,CFFEX,IF2404,downloaded,42,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2404.csv,,2026-04-22T13:31:55
CFFEX.IF2405,CFFEX,IF2405,downloaded,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2405.csv,,2026-04-22T13:31:55
