requested_top_n,eval_date,actual_ranked_count,actual_total_count,formal_top8_preserved,fixed_fu_present,member_signature
11,2024-05-31,11,12,True,True,"CF.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,fu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE"
11,2024-06-28,11,12,True,True,"AP.CZCE,FG.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
11,2024-07-31,11,12,True,True,"AP.CZCE,FG.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,fu.SHFE,hc.SHFE,lh.DCE,ru.SHFE,si.GFEX"
11,2024-08-30,11,12,True,True,"AP.CZCE,FG.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,ru.SHFE"
11,2024-09-30,11,12,True,True,"AP.CZCE,CF.CZCE,MA.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE"
11,2024-10-31,11,12,True,True,"AP.CZCE,CF.CZCE,MA.CZCE,SA.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE"
11,2024-11-29,11,12,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,lc.GFEX,lh.DCE,si.GFEX,sp.SHFE"
11,2024-12-31,11,12,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,au.SHFE,cu.SHFE,fu.SHFE,lc.GFEX,ru.SHFE,si.GFEX,sp.SHFE"
11,2025-01-27,11,12,True,True,"AP.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,au.SHFE,fu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE"
11,2025-02-28,11,12,True,True,"AP.CZCE,CF.CZCE,FG.CZCE,MA.CZCE,SM.CZCE,au.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
11,2025-03-31,11,12,True,True,"AP.CZCE,CF.CZCE,MA.CZCE,SA.CZCE,au.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,sp.SHFE"
11,2025-04-30,11,12,True,True,"AP.CZCE,CF.CZCE,MA.CZCE,OI.CZCE,au.SHFE,cu.SHFE,fu.SHFE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,sp.SHFE"
11,2025-05-30,11,12,True,True,"AP.CZCE,CF.CZCE,MA.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,lh.DCE,rb.SHFE,ru.SHFE,sp.SHFE"
11,2025-06-30,11,12,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,au.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,si.GFEX,sp.SHFE"
11,2025-07-31,11,12,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,lh.DCE,ru.SHFE,sp.SHFE"
11,2025-08-29,11,12,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,rb.SHFE,si.GFEX,sp.SHFE"
11,2025-09-30,11,12,True,True,"FG.CZCE,MA.CZCE,SA.CZCE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX,sp.SHFE"
11,2025-10-31,11,12,True,True,"FG.CZCE,OI.CZCE,au.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX,sp.SHFE"
11,2025-11-28,11,12,True,True,"FG.CZCE,OI.CZCE,SA.CZCE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX,sp.SHFE"
11,2025-12-31,11,12,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,rb.SHFE,ru.SHFE"
11,2026-01-30,11,12,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,au.SHFE,fu.SHFE,jm.DCE,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
11,2026-02-27,11,12,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
11,2026-03-31,11,12,True,True,"FG.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE"
11,2026-04-30,11,12,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,jm.DCE,rb.SHFE,ru.SHFE,si.GFEX"
11,2026-05-29,11,12,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,rb.SHFE,ru.SHFE,si.GFEX"
11,2026-06-30,11,12,True,True,"AP.CZCE,CF.CZCE,FG.CZCE,SA.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,lh.DCE,ru.SHFE,si.GFEX"
11,2026-07-31,11,12,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,si.GFEX"
12,2022-01-28,12,13,True,True,"CF.CZCE,FG.CZCE,MA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,si.GFEX,sp.SHFE"
12,2022-02-28,12,13,True,True,"CF.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,sp.SHFE"
12,2022-03-31,12,13,True,True,"FG.CZCE,MA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
